Date       ,Time       ,Transaction Platform,Spend,Expense/Revenue,Transaction Type
12/17/2018,4:38:11 PM,Taobao,-95,Expense,Communication
12/17/2018,4:37:09 PM,Taobao,-99.9,Expense,Communication
12/16/2018,8:00:50 AM,other platforms,-25,Expense,Cultural educational and recreational articles and services
12/16/2018,3:39:45 AM,other platforms,-648,Expense,Cultural educational and recreational articles and services
12/16/2018,12:56:56 AM,Taobao,-480,Expense,Others
12/15/2018,1:44:11 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
12/14/2018,1:00:39 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
12/14/2018,12:50:24 PM,other platforms,-98,Expense,Cultural educational and recreational articles and services
12/14/2018,12:49:42 PM,other platforms,-12,Expense,Cultural educational and recreational articles and services
12/13/2018,4:14:59 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
12/13/2018,6:42:01 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
12/12/2018,5:54:11 PM,other platforms,-30,Expense,Cultural educational and recreational articles and services
12/12/2018,3:43:14 AM,other platforms,-193,Expense,Cultural educational and recreational articles and services
12/11/2018,5:40:49 PM,other platforms,-60,Expense,Cultural educational and recreational articles and services
12/11/2018,4:59:29 PM,other platforms,-60,Expense,Cultural educational and recreational articles and services
12/6/2018,10:58:32 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
12/6/2018,9:08:57 AM,other platforms,-12,Expense,Cultural educational and recreational articles and services
12/6/2018,4:24:47 AM,other platforms,-55,Expense,Cultural educational and recreational articles and services
12/5/2018,8:59:55 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
12/5/2018,8:42:22 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
12/5/2018,8:41:36 AM,other platforms,-388,Expense,Cultural educational and recreational articles and services
12/4/2018,10:13:45 AM,other platforms,-15,Expense,Cultural educational and recreational articles and services
12/3/2018,4:54:24 AM,other platforms,-591.21,Expense,Food
11/26/2018,1:15:00 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
11/24/2018,12:52:57 AM,other platforms,-25,Expense,Cultural educational and recreational articles and services
11/19/2018,6:15:20 PM,other platforms,-68,Expense,Others
11/15/2018,9:06:08 PM,Alipay Website,-200,Expense,Account Transfer
11/15/2018,8:50:39 PM,Alipay Website,-400,Expense,Account Transfer
11/11/2018,12:14:42 PM,Taobao,-12721,Expense,Tranportation
11/7/2018,6:37:54 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
11/7/2018,6:26:29 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
11/7/2018,6:24:42 AM,other platforms,-328,Expense,Cultural educational and recreational articles and services
11/7/2018,6:23:22 AM,other platforms,-98,Expense,Cultural educational and recreational articles and services
11/4/2018,10:23:12 AM,other platforms,-15,Expense,Cultural educational and recreational articles and services
10/29/2018,12:57:03 PM,other platforms,-368,Expense,Cultural educational and recreational articles and services
10/29/2018,12:34:49 PM,Taobao,-15,Expense,Cultural educational and recreational articles and services
10/28/2018,8:24:20 AM,other platforms,-28,Expense,Others
10/26/2018,12:16:32 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
10/23/2018,10:42:47 PM,other platforms,-579.4,Expense,Food
10/23/2018,9:47:26 AM,other platforms,-128,Expense,Cultural educational and recreational articles and services
10/19/2018,5:16:11 PM,other platforms,-68,Expense,Others
10/19/2018,1:37:38 PM,Alipay Website,-400,Expense,Account Transfer
10/19/2018,1:36:10 PM,Alipay Website,1276,Revenue,Others
10/19/2018,12:29:58 PM,Alipay Website,-400,Expense,Account Transfer
10/19/2018,11:06:20 AM,Alipay Website,-400,Expense,Account Transfer
10/17/2018,6:37:21 AM,other platforms,-536.01,Expense,Food
10/15/2018,2:28:47 AM,other platforms,-36,Expense,Cultural educational and recreational articles and services
10/13/2018,12:40:46 PM,other platforms,-158,Expense,Cultural educational and recreational articles and services
10/13/2018,12:27:15 PM,Alipay Website,1115,Revenue,Account Transfer
10/13/2018,11:25:02 AM,Alipay Website,-400,Expense,Account Transfer
10/13/2018,10:46:34 AM,Alipay Website,-400,Expense,Account Transfer
10/6/2018,11:17:29 AM,Taobao,-49.95,Expense,Communication
